TITLE,ALBUM,ARTIST
Blood and Thunder,Leviathan,Mastodon
I'd Do Anything For Love (But I Won't Do That),Bat Out Of Hell II: Back Into Hell (Deluxe),Meat Loaf
Paradise By the Dashboard Light,Bat Out Of Hell,Meat Loaf
Dead Ringer for Love (with Cher),Dead Ringer,"Meat Loaf,Cher"
A Tout Le Monde,Youthanasia (Expanded Edition - Remastered),Megadeth
Angry Again,Hidden Treasures,Megadeth
Hangar 18,Rust In Peace (2004 Remix / Expanded Edition),Megadeth
Holy Wars...The Punishment Due,Rust In Peace (2004 Remix / Expanded Edition),Megadeth
No More Mr. Nice Guy,Hidden Treasures,Megadeth
Peace Sells,Peace Sells...But Who's Buying? (Expanded Edition - Remastered),Megadeth
Reckoning Day,Youthanasia (Expanded Edition - Remastered),Megadeth
Symphony Of Destruction,Countdown To Extinction (Expanded Edition - Remastered),Megadeth
Tornado Of Souls,Rust In Peace (2004 Remix / Expanded Edition),Megadeth
Battery,Master Of Puppets,Metallica
Enter Sandman,Metallica,Metallica
For Whom The Bell Tolls,Ride The Lightning (Deluxe / Remastered),Metallica
Fuel,Reload,Metallica
I Disappear,I Disappear,Metallica
No Leaf Clover,S&M,Metallica
Nothing Else Matters,Metallica,Metallica
Sad But True,Metallica,Metallica
So What,Garage Inc.,Metallica
Until It Sleeps,Load,Metallica
The Memory Remains,Reload,"Metallica,Marianne Faithfull"
Jesus Built My Hotrod,KE*A*H** (Psalm 69),Ministry
N.W.O.,KE*A*H** (Psalm 69),Ministry
What About Us?,Greatest Fits,Ministry
"Die, Die My Darling","Earth A.D. / Die, Die My Darling",Misfits
Dig Up Her Bones,American Psycho,Misfits
Helena,Famous Monsters,Misfits
Hybrid Moments,The Misfits Box Set,Misfits
Last Caress,The Misfits Box Set,Misfits
Saturday Night,Famous Monsters,Misfits
Astro Zombies,Collection,"Misfits,Glenn Danzig"
Skulls,Collection,"Misfits,Glenn Danzig"
Where Eagles Dare,Collection,"Misfits,Glenn Danzig"
Suedehead,Viva Hate,Morrissey
You Have Killed Me,Ringleader of the Tormentors,Morrissey
Another Life,Disguise,Motionless In White
"Girls, Girls, Girls","Girls, Girls, Girls",Mötley Crüe
Home Sweet Home,Theatre of Pain,Mötley Crüe
Kickstart My Heart,Dr. Feelgood,Mötley Crüe
Live Wire,Too Fast For Love,Mötley Crüe
Looks That Kill,Shout At The Devil,Mötley Crüe
Same Ol' Situation (S.O.S.),Dr. Feelgood (40th Anniversary;2021 - Remaster),Mötley Crüe
Shout at the Devil,Shout At The Devil,Mötley Crüe
Smokin' In The Boys Room,Theatre of Pain (40th Anniversary; 2021 - Remaster),Mötley Crüe
Too Young to Fall in Love,Shout At The Devil,Mötley Crüe
Ace of Spades,Ace of Spades (Expanded Edition),Motörhead
Killed by Death,All the Aces,Motörhead
Overkill,Overkill (Expanded Edition),Motörhead
Born For The Game,HBN ENT Presents: Lit Mode,"Motorhead2x,Project Pat"
Pink Cigarette,California,Mr. Bungle
Dig,L.D. 50,Mudvayne
Happy?,Lost and Found,Mudvayne
Not Falling,The End Of All Things To Come,Mudvayne
Feeling Good,Origin of Symmetry,Muse
Hysteria,Absolution,Muse
New Born,Origin of Symmetry,Muse
Plug in Baby,Origin of Symmetry,Muse
Stockholm Syndrome,Absolution,Muse
Sunburn,Showbiz,Muse
Supermassive Black Hole,Black Holes and Revelations,Muse
Time is Running Out,Absolution,Muse
Undisclosed Desires,The Resistance,Muse
Uprising,The Resistance,Muse
Dead!,The Black Parade,My Chemical Romance
Helena,Three Cheers for Sweet Revenge,My Chemical Romance
House of Wolves,The Black Parade,My Chemical Romance
I Don't Love You,The Black Parade,My Chemical Romance
I'm Not Okay (I Promise),Three Cheers for Sweet Revenge,My Chemical Romance
Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives of the Fabulous Killjoys,My Chemical Romance
Teenagers,The Black Parade,My Chemical Romance
Thank You for the Venom,Three Cheers for Sweet Revenge,My Chemical Romance
The Ghost of You,Three Cheers for Sweet Revenge,My Chemical Romance
Welcome to the Black Parade,The Black Parade,My Chemical Romance
You Know What They Do to Guys Like Us in Prison,Three Cheers for Sweet Revenge,My Chemical Romance
Bizarre Love Triangle,Brotherhood (Collector's Edition),New Order
Blue Monday,Substance,New Order
True Faith,Substance,New Order
How You Remind Me,Silver Side Up,Nickelback
Photograph,All the Right Reasons,Nickelback
Rockstar,All the Right Reasons (Walmart Exclusive Edition),Nickelback
Nemo,Once,Nightwish
Sleeping Sun,Oceanborn,Nightwish
The Phantom Of The Opera,Century Child,Nightwish
Wish I Had an Angel,Once,Nightwish
Closer,The Downward Spiral,Nine Inch Nails
Head Like A Hole,Pretty Hate Machine,Nine Inch Nails
March Of The Pigs,The Downward Spiral,Nine Inch Nails
Sin,Pretty Hate Machine,Nine Inch Nails
The Hand That Feeds,With Teeth (Bonus Tracks),Nine Inch Nails
The Perfect Drug,Lost Highway,Nine Inch Nails
Wish,Broken,Nine Inch Nails
All Apologies,In Utero,Nirvana
Breed,Nevermind,Nirvana
Come As You Are,Nevermind,Nirvana
Drain You,Nevermind,Nirvana
Dumb,In Utero,Nirvana
Heart-Shaped Box,In Utero,Nirvana
In Bloom,Nevermind,Nirvana
Lithium,Nevermind,Nirvana
Lounge Act,Nevermind,Nirvana
Love Buzz,Bleach,Nirvana
Negative Creep,Bleach,Nirvana
On A Plain,Nevermind,Nirvana
Rape Me,In Utero,Nirvana
Sliver,Incesticide,Nirvana
Smells Like Teen Spirit,Nevermind,Nirvana
Territorial Pissings,Nevermind,Nirvana
You Know You're Right,Nirvana,Nirvana
Don't Speak,Tragic Kingdom,No Doubt
Hella Good,Rock Steady (Expanded Edition),No Doubt
Just A Girl,Tragic Kingdom,No Doubt
Spiderwebs,Tragic Kingdom,No Doubt
Linoleum,Punk In Drublic,NOFX
Come Out and Play,Smash,The Offspring
Pretty Fly (For A White Guy),ドライブが楽しくなる洋楽ヒッツ！90年代 ROCK,The Offspring
Self Esteem,Smash,The Offspring
The Kids Aren't Alright,Americana,The Offspring
Want You Bad,Conspiracy Of One,The Offspring
Why Don't You Get A Job,Americana,The Offspring
Dead Man's Party,Dead Man's Party,Oingo Boingo
No One Lives Forever,Dead Man's Party,Oingo Boingo
Crazy Train,Blizzard Of Ozz (40th Anniversary Expanded Edition),Ozzy Osbourne
I Don't Know,Blizzard Of Ozz (40th Anniversary Expanded Edition),Ozzy Osbourne
"Mama, I'm Coming Home",No More Tears (Expanded Edition),Ozzy Osbourne
No More Tears,No More Tears (Expanded Edition),Ozzy Osbourne
Shot in the Dark,The Ultimate Sin,Ozzy Osbourne
Alive,Satellite (U.S. Version),P.O.D.
Youth of the Nation,Satellite (U.S. Version),P.O.D.
High Hopes,Pray for the Wicked,Panic! At The Disco
House of Memories,Death of a Bachelor,Panic! At The Disco
I Write Sins Not Tragedies,A Fever You Can't Sweat Out,Panic! At The Disco
5 Minutes Alone,Far Beyond Driven,Pantera
Cowboys from Hell,Cowboys from Hell,Pantera
Domination,Cowboys from Hell,Pantera
Fucking Hostile,Vulgar Display of Power (Expanded),Pantera
Hollow,Vulgar Display of Power,Pantera
I'm Broken,Far Beyond Driven,Pantera
Mouth for War,Vulgar Display of Power,Pantera
This Love,Vulgar Display of Power,Pantera
Walk,Vulgar Display of Power,Pantera
Between Angels And Insects,Infest,Papa Roach
Last Resort,Infest,Papa Roach
Scars,Getting Away With Murder,Papa Roach
All I Wanted,Brand New Eyes,Paramore
Brick by Boring Brick,Brand New Eyes,Paramore
crushcrushcrush,Riot!,Paramore
Decode,Brand New Eyes,Paramore
Ignorance,Brand New Eyes,Paramore
Misery Business,Riot!,Paramore
Still into You,Paramore,Paramore
That's What You Get,Riot!,Paramore
The Only Exception,Brand New Eyes,Paramore
Alive,Ten,Pearl Jam
Better Man,Vitalogy,Pearl Jam
Even Flow,Ten,Pearl Jam
Judith,Mer De Noms,A Perfect Circle
Passive,eMOTIVe,A Perfect Circle
Pet,Thirteenth Step,A Perfect Circle
The Outsider,Thirteenth Step,A Perfect Circle
Digging In The Dirt,Us,Peter Gabriel
Shock The Monkey,Peter Gabriel 4: Security,Peter Gabriel
Cuts You Up,Deep,Peter Murphy
Another Brick In The Wall (Part 2),Pulse,Pink Floyd
Wish You Were Here,A Collection Of Great Dance Songs,Pink Floyd
Debaser,Doolittle,Pixies
Gigantic,Surfer Rosa (2007 Remaster),Pixies
Here Comes Your Man,Doolittle,Pixies
Hey,Doolittle,Pixies
Monkey Gone to Heaven,Doolittle,Pixies
Wave Of Mutilation,Doolittle,Pixies
Where Is My Mind?,Surfer Rosa (2007 Remaster),Pixies
Down By The Water,To Bring You My Love,PJ Harvey
Every You Every Me,Without You I'm Nothing,Placebo
Nancy Boy,Placebo,Placebo
Pure Morning,Without You I'm Nothing,Placebo
